# Equilibrium carrier concentrations
# Position(um)  n(cm^-3)  p(cm^-3)
# LWIR
0.000000  4.4268292683e+12  2.4600000000e+14
0.050000  2.5034980398e+14  4.3499135317e+12
0.101744  2.5034991166e+14  4.3499116607e+12
0.155293  2.5034991166e+14  4.3499116607e+12
0.210711  2.5034991166e+14  4.3499116607e+12
0.268061  2.5034991166e+14  4.3499116607e+12
0.327412  2.5034991166e+14  4.3499116607e+12
0.388833  2.5034991166e+14  4.3499116607e+12
0.452397  2.5034991166e+14  4.3499116607e+12
0.518179  2.5034991166e+14  4.3499116607e+12
0.586255  2.5034991166e+14  4.3499116607e+12
0.656705  2.5034991166e+14  4.3499116607e+12
0.729614  2.5034991166e+14  4.3499116607e+12
0.805065  2.5034991166e+14  4.3499116607e+12
0.883149  2.5034991166e+14  4.3499116607e+12
0.963956  2.5034991166e+14  4.3499116607e+12
1.047583  2.5034991166e+14  4.3499116607e+12
1.134126  2.5034991166e+14  4.3499116607e+12
1.223689  2.5034991166e+14  4.3499116607e+12
1.316376  2.5034991166e+14  4.3499116607e+12
1.412296  2.5034991166e+14  4.3499116607e+12
1.511562  2.5034991166e+14  4.3499116607e+12
1.614291  2.5034991166e+14  4.3499116607e+12
1.720603  2.5034991166e+14  4.3499116607e+12
1.830624  2.5034991166e+14  4.3499116607e+12
1.944483  2.5034991166e+14  4.3499116607e+12
2.062314  2.5034991166e+14  4.3499116607e+12
2.184255  2.5034991166e+14  4.3499116607e+12
2.310450  2.5034991166e+14  4.3499116607e+12
2.441047  2.5034991166e+14  4.3499116607e+12
2.576200  2.5034991166e+14  4.3499116607e+12
2.716068  2.5034991166e+14  4.3499116607e+12
2.860814  2.5034991166e+14  4.3499116607e+12
3.010610  2.5034991166e+14  4.3499116607e+12
3.165631  2.5034991166e+14  4.3499116607e+12
3.326060  2.5034991166e+14  4.3499116607e+12
3.492086  2.5034991166e+14  4.3499116607e+12
3.663903  2.5034991166e+14  4.3499116607e+12
3.841713  2.5034991166e+14  4.3499116607e+12
4.025727  2.5034991166e+14  4.3499116607e+12
4.216159  2.5034991166e+14  4.3499116607e+12
4.413234  2.5034991166e+14  4.3499116607e+12
4.500000  2.5034991166e+14  4.3499116607e+12
4.700000  2.5034991166e+14  4.3499116607e+12
4.895349  2.5034991166e+14  4.3499116607e+12
5.086155  2.5034991166e+14  4.3499116607e+12
5.272523  2.5034991166e+14  4.3499116607e+12
5.454558  2.5034991166e+14  4.3499116607e+12
