# Equilibrium potential distribution
# Position(um) Potential(V)
# LWIR
0.000000 -1.7310036188e-02
0.050000 1.7461071688e-02
0.101744 1.7461075395e-02
0.155293 1.7461075395e-02
0.210711 1.7461075395e-02
0.268061 1.7461075395e-02
0.327412 1.7461075395e-02
0.388833 1.7461075395e-02
0.452397 1.7461075395e-02
0.518179 1.7461075395e-02
0.586255 1.7461075395e-02
0.656705 1.7461075395e-02
0.729614 1.7461075395e-02
0.805065 1.7461075395e-02
0.883149 1.7461075395e-02
0.963956 1.7461075395e-02
1.047583 1.7461075395e-02
1.134126 1.7461075395e-02
1.223689 1.7461075395e-02
1.316376 1.7461075395e-02
1.412296 1.7461075395e-02
1.511562 1.7461075395e-02
1.614291 1.7461075395e-02
1.720603 1.7461075395e-02
1.830624 1.7461075395e-02
1.944483 1.7461075395e-02
2.062314 1.7461075395e-02
2.184255 1.7461075395e-02
2.310450 1.7461075395e-02
2.441047 1.7461075395e-02
2.576200 1.7461075395e-02
2.716068 1.7461075395e-02
2.860814 1.7461075395e-02
3.010610 1.7461075395e-02
3.165631 1.7461075395e-02
3.326060 1.7461075395e-02
3.492086 1.7461075395e-02
3.663903 1.7461075395e-02
3.841713 1.7461075395e-02
4.025727 1.7461075395e-02
4.216159 1.7461075395e-02
4.413234 1.7461075395e-02
4.500000 1.7461075395e-02
4.700000 1.7461075395e-02
4.895349 1.7461075395e-02
5.086155 1.7461075395e-02
5.272523 1.7461075395e-02
5.454558 1.7461075395e-02
5.632359 1.7461075395e-02
5.806025 1.7461075395e-02
5.975652 1.7461075395e-02
6.141334 1.7461075395e-02
6.303164 1.7461075395e-02
6.461230 1.7461075395e-02
6.615620 1.7461075395e-02
6.766419 1.7461075395e-02
6.913712 1.7461075395e-02
7.057579 1.7461075395e-02
7.198101 1.7461075395e-02
7.335354 1.7461075395e-02
7.469416 1.7461075395e-02
7.600359 1.7461075395e-02
7.728258 1.7461075395e-02
7.853182 1.7461075395e-02
